parsing script file: rand_large_180.job
21996 -1 1024 524288 1
4056 -1 1024 524288 1
24940 -1 1024 524288 1
8583 -1 1024 524288 1
25293 -1 1024 524288 1
127 -1 1024 524288 1
21558 -1 1024 524288 1
17784 -1 1024 524288 1
11416 -1 1024 524288 1
3621 -1 1024 524288 1
13667 -1 1024 524288 1
9861 -1 1024 524288 1
12381 -1 1024 524288 1
5684 -1 1024 524288 1
18572 -1 1024 524288 1
20586 -1 1024 524288 1
5579 -1 1024 524288 1
29201 -1 1024 524288 1
6081 -1 1024 524288 1
15332 -1 1024 524288 1
2355 -1 1024 524288 1
12682 -1 1024 524288 1
17496 -1 1024 524288 1
17245 -1 1024 524288 1
26578 -1 1024 524288 1
8982 -1 1024 524288 1
22564 -1 1024 524288 1
25736 -1 1024 524288 1
18011 -1 1024 524288 1
2920 -1 1024 524288 1
26399 -1 1024 524288 1
26243 -1 1024 524288 1
16577 -1 1024 524288 1
13580 -1 1024 524288 1
2934 -1 1024 524288 1
14521 -1 1024 524288 1
6793 -1 1024 524288 1
25027 -1 1024 524288 1
19064 -1 1024 524288 1
3068 -1 1024 524288 1
26509 -1 1024 524288 1
27324 -1 1024 524288 1
24493 -1 1024 524288 1
11271 -1 1024 524288 1
6312 -1 1024 524288 1
29290 -1 1024 524288 1
16642 -1 1024 524288 1
20261 -1 1024 524288 1
28098 -1 1024 524288 1
4081 -1 1024 524288 1
25281 -1 1024 524288 1
2450 -1 1024 524288 1
11937 -1 1024 524288 1
2833 -1 1024 524288 1
24445 -1 1024 524288 1
18538 -1 1024 524288 1
3487 -1 1024 524288 1
24332 -1 1024 524288 1
23663 -1 1024 524288 1
12464 -1 1024 524288 1
14922 -1 1024 524288 1
21189 -1 1024 524288 1
24941 -1 1024 524288 1
20575 -1 1024 524288 1
5688 -1 1024 524288 1
12172 -1 1024 524288 1
19547 -1 1024 524288 1
28462 -1 1024 524288 1
24004 -1 1024 524288 1
14301 -1 1024 524288 1
11999 -1 1024 524288 1
4907 -1 1024 524288 1
3508 -1 1024 524288 1
6696 -1 1024 524288 1
4034 -1 1024 524288 1
22857 -1 1024 524288 1
1818 -1 1024 524288 1
26642 -1 1024 524288 1
4496 -1 1024 524288 1
26774 -1 1024 524288 1
17410 -1 1024 524288 1
28875 -1 1024 524288 1
2522 -1 1024 524288 1
21700 -1 1024 524288 1
6037 -1 1024 524288 1
3711 -1 1024 524288 1
29713 -1 1024 524288 1
23103 -1 1024 524288 1
23101 -1 1024 524288 1
12988 -1 1024 524288 1
9546 -1 1024 524288 1
20450 -1 1024 524288 1
16663 -1 1024 524288 1
22634 -1 1024 524288 1
26152 -1 1024 524288 1
14881 -1 1024 524288 1
18237 -1 1024 524288 1
25783 -1 1024 524288 1
9262 -1 1024 524288 1
